Date,CODE,Close
1/28/2011,KENO,10
1/28/2011,KEGN,16.55
1/28/2011,KPLC-P4,7.65
1/28/2011,KPLC-P7,5.5
1/28/2011,KPLC,23.75
1/28/2011,TOTL,28.75
1/28/2011,JUB,197
1/28/2011,KNRE,11.4
1/28/2011,SLAM,63
1/28/2011,OCH,5.75
1/28/2011,CARB,153
1/28/2011,EABL,193
1/28/2011,ORCH,3
1/28/2011,MSC,9.75
1/28/2011,UNGA,11.2
1/31/2011,EGAD,57
1/31/2011,KUKZ,81
1/31/2011,KAPC,130
1/31/2011,LIMT,305
1/31/2011,SASN,12.9
1/31/2011,WTK,200
1/31/2011,CGEN,54
1/31/2011,ABSA,63
1/31/2011,COOP,20.25
1/31/2011,DTK,145
1/31/2011,EQTY,29
1/31/2011,HFCK,27.25
1/31/2011,KCB,23
1/31/2011,NBK,45.5
1/31/2011,NCBA,50.5
1/31/2011,SBIC,80.5
1/31/2011,SCBK,271.25
1/31/2011,EVRD,2.75
1/31/2011,XPRS,8.25
1/31/2011,KQ,45.75
1/31/2011,NMG,171
1/31/2011,SMER,6.4
1/31/2011,SGL,42.25
